Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,temp,location,clouds,pressure,rain,time_stamp,humidity,wind,surge_factor
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227,0.637,Back Bay,1.0,0.5097,0.1573,1545003901,0.5926,0.6126,1.4189
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766,0.6373,Beacon Hill,1.0,0.5099,0.2365,1545003901,0.5741,0.6165,1.4342
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466,0.6393,Boston University,1.0,0.5099,0.1395,1545003901,0.5741,0.6026,1.4137
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198,0.6284,Fenway,1.0,0.5095,0.1241,1545003901,0.5926,0.6037,1.41
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141,0.6569,Financial District,1.0,0.5097,0.2288,1545003901,0.5556,0.626,1.4356
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221,0.6348,Haymarket Square,1.0,0.5099,0.2649,1545003901,0.5926,0.626,1.4414
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359152,0.6354,North End,1.0,0.5099,0.2675,1545003901,0.5926,0.6244,1.4419
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355605,0.6312,North Station,1.0,0.5101,0.265,1545003901,0.5926,0.6193,1.4402
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056,0.6273,Northeastern University,1.0,0.5093,0.1307,1545003901,0.6111,0.6143,1.4131
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933645706103,0.6547,South Station,1.0,0.5093,0.1982,1545003901,0.5556,0.6311,1.4297
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781,0.6278,Theatre District,1.0,0.5095,0.1829,1545003901,0.6111,0.6216,1.4244
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251,0.6611,Back Bay,0.81,0.0546,0.138,1543347920,0.4815,0.4477,1.3226
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416,0.6608,Beacon Hill,0.8,0.0544,0.056,1543347920,0.4815,0.4477,1.3046
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223,0.663,Boston University,0.82,0.0548,0.1574,1543347920,0.4815,0.4444,1.3279
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375,0.6552,Fenway,0.82,0.0548,0.2704,1543347920,0.5,0.4466,1.3505
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125,0.663,Financial District,0.8,0.0544,0.0437,1543347920,0.4815,0.4505,1.3028
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458,0.6588,Haymarket Square,0.8,0.0542,0.0437,1543347920,0.4815,0.4483,1.3019
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691,0.66,North End,0.8,0.0542,0.2777,1543347920,0.4815,0.4489,1.3489
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964,0.6239,North Station,0.81,0.0721,0.1729,1543347920,0.5185,0.5914,1.3419
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511,0.6547,Northeastern University,0.81,0.0548,0.0132,1543347920,0.5,0.4483,1.2977
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978,0.6619,South Station,0.8,0.0544,0.0029,1543347920,0.4815,0.4511,1.2945
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656,0.6547,Theatre District,0.8,0.0544,0.1438,1543347920,0.5,0.45,1.3224
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554,0.6222,West End,0.81,0.0723,0.0141,1543347920,0.537,0.592,1.3109
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375452,0.679,North Station,1.0,0.3849,0.0524,1543277833,0.8333,0.5478,1.3973
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408,0.6776,Northeastern University,1.0,0.3838,0.0364,1543277833,0.8519,0.5282,1.3927
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908,0.5479,Back Bay,0.83,0.1673,0.0137,1543449727,0.3889,0.5802,1.3036
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517,0.5465,Beacon Hill,0.83,0.1671,0.105,1543449727,0.4074,0.5813,1.3227
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081,0.5479,Boston University,0.83,0.1677,0.0,1543449727,0.3889,0.5724,1.3001
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993,0.5443,Fenway,0.83,0.1677,0.0,1543449727,0.4074,0.5757,1.3009
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473,0.5571,Financial District,0.83,0.1668,0.0013,1543449727,0.3889,0.5869,1.3031
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.13145256368455,0.5465,Haymarket Square,0.83,0.1668,0.0,1543449727,0.3889,0.5836,1.301
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633356366,0.5474,North End,0.82,0.1668,0.1144,1543449727,0.3889,0.5847,1.3226
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835160851,0.5443,Northeastern University,0.83,0.1675,0.0,1543449727,0.4074,0.5797,1.3012
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537318511,0.5566,South Station,0.83,0.1671,0.0,1543449727,0.3889,0.5875,1.3029
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328864777875,0.5443,Theatre District,0.83,0.1671,0.263,1543449727,0.4074,0.5847,1.3543
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.83872040801793,0.5443,West End,0.83,0.1668,0.0447,1543449727,0.4074,0.5813,1.3103
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809467866996,0.2137,Back Bay,0.15,0.9633,0.0826,1544787901,0.6481,0.1492,1.2147
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293207873477,0.2137,Beacon Hill,0.15,0.9633,0.0,1544787901,0.6667,0.1509,1.1993
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.21766165291973,0.2082,Boston University,0.15,0.9633,0.0036,1544787901,0.6481,0.1425,1.1974
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312250814,0.2028,Fenway,0.15,0.9633,0.0881,1544787901,0.6667,0.1448,1.2147
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.40676830595487,0.2135,Financial District,0.15,0.9633,0.0,1544787901,0.6667,0.1554,1.1997
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.15212964816465,0.2157,Haymarket Square,0.15,0.9633,0.1223,1544787901,0.6667,0.1537,1.2244
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599938912294,0.2182,North End,0.15,0.9633,0.0,1544787901,0.6667,0.1543,1.2003
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.85016419959805,0.2123,North Station,0.15,0.9633,0.0362,1544787901,0.6667,0.152,1.2064
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595074862448,0.2042,Northeastern University,0.16,0.9633,0.0,1544787901,0.6667,0.1481,1.1991
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626071891,0.211,South Station,0.15,0.9633,0.3129,1544787901,0.6667,0.1554,1.2619
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742414517,0.207,Theatre District,0.15,0.9633,0.0721,1544787901,0.6852,0.1532,1.2139
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.13235495172165,0.7228,Back Bay,1.0,0.5165,0.0,1543253710,0.7593,0.3454,1.3826
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462184758,0.7209,Beacon Hill,1.0,0.5167,0.18,1543253710,0.7593,0.346,1.4184
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113101238,0.7245,Boston University,1.0,0.5165,0.0,1543253710,0.7407,0.3432,1.3817
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706123274,0.727,Fenway,1.0,0.5165,0.1008,1543253710,0.7407,0.3438,1.4023
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.07579104191225,0.7242,Financial District,1.0,0.5167,0.0,1543253710,0.7407,0.3471,1.382
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.13746358777752,0.7209,Haymarket Square,1.0,0.5167,0.0,1543253710,0.7593,0.3471,1.3825
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021028701461,0.7212,North End,1.0,0.5167,0.0993,1543253710,0.7593,0.3477,1.4024
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449474928,0.7223,North Station,1.0,0.5167,0.1692,1543253710,0.7593,0.3471,1.4165
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711291002,0.7284,Northeastern University,1.0,0.5165,0.0959,1543253710,0.7407,0.3449,1.4016
32,20,Rural,Silver,44,3.55,Night,Economy,68,301.62262644973293,0.7262,South Station,1.0,0.5167,0.0589,1543253710,0.7407,0.3471,1.3941
95,25,Suburban,Regular,72,4.16,Morning,Premium,128,413.5870840445325,0.7245,Theatre District,1.0,0.5167,0.035,1543253710,0.7407,0.3466,1.389
47,15,Urban,Gold,14,4.84,Night,Economy,89,273.11810461931896,0.722,West End,1.0,0.5167,0.0,1543253710,0.7593,0.3466,1.3826
